Day,Reef,Depth,Salinity,TSS,Temp,DO
1,1,8.77460946,19.49266169,11.61707862,6.626242405,12.53803899
1,2,2.987162276,19.30330846,11.61707862,6.175760309,12.56487704
1,3,8.091964535,18.94951048,11.61707862,6.629626508,12.73357179
1,4,7.496664976,19.17227928,11.61707862,5.746360438,12.56912647
1,5,10.03942029,18.64998599,11.61707862,4.481583155,12.64099303
1,6,1.894063944,17.96779274,6.687502518,4.842019331,12.94848115
1,7,7.612968844,18.3684564,6.687502518,4.09927723,12.47222808
1,8,8.336454566,17.93783186,6.687502518,3.879989011,12.81978247
1,9,5.736694009,17.92390822,6.687502518,3.907439182,12.66613641
1,10,2.947856197,17.16448582,6.687502518,3.575065396,12.9884311
1,11,5.692685305,17.11056535,6.687502518,3.541130146,12.97849877
1,12,3.14960315,16.91847481,5,3.442087494,12.91370017
1,13,3.249615362,17.55018608,6.687502518,3.83531354,12.13008631
1,14,6.557737295,16.88813256,5,3.464833298,12.85178502
1,15,6.565474247,17.11949949,5.690625754,3.684396527,12.22214055
1,16,7.938506519,17.03378389,5.690625754,3.429542994,12.23239038
1,17,7.49504095,16.43878287,5.690625754,3.992167791,11.92259723
1,18,6.922046247,16.48876732,5.690625754,4.229787018,11.7617899
1,19,6.458686625,16.5705136,5.690625754,4.5364317,11.57142232
1,20,7.429508732,16.62927427,5.690625754,4.793504454,11.40331582
2,1,8.77460946,19.58106169,11.515098,6.458161299,12.55973365
2,2,2.987162276,19.3737701,11.515098,6.016539738,12.59726925
2,3,8.091964535,19.047419,11.515098,6.44957097,12.74833806
2,4,7.496664976,19.22510607,11.515098,5.596779606,12.61177542
2,5,10.03942029,18.65254549,11.515098,4.356919628,12.7135797
2,6,1.894063944,17.9959549,6.663515436,4.691662106,13.00621223
2,7,7.612968844,18.36113868,6.663515436,3.981646454,12.54469684
2,8,8.336454566,17.92206523,6.663515436,3.7569926,12.90421348
2,9,5.736694009,17.91216413,6.663515436,3.784879429,12.74385971
2,10,2.947856197,17.14570924,6.663515436,3.444718353,13.07395729
2,11,5.692685305,17.0936899,6.663515436,3.412660946,13.0580926
2,12,3.14960315,16.907714,5,3.318295096,12.97555959
2,13,3.249615362,17.55299045,6.663515436,3.712850014,12.18251367
2,14,6.557737295,16.87718138,5,3.338243009,12.91681584
2,15,6.565474247,17.1208596,5.666706683,3.557119926,12.27511335
2,16,7.938506519,17.03737464,5.666706683,3.307554649,12.28497328
2,17,7.49504095,16.4298807,5.666706683,3.839917942,11.9852841
2,18,6.922046247,16.47663956,5.666706683,4.071171317,11.82790771
2,19,6.458686625,16.55441743,5.666706683,4.370063393,11.64168336
2,20,7.429508732,16.60966101,5.666706683,4.620535032,11.47693982
3,1,8.77460946,19.66769296,11.41490338,6.288909579,12.58140535
3,2,2.987162276,19.44265227,11.41490338,5.856634142,12.62955254
